uuid,spot_number,shot_number,shots_in_spot,image_filename,image_width,image_height,image_quality,capture_datetime,latitude,longitude,altitude_m,altitude_accuracy_m,gps_accuracy_m,gps_reading_count,camera_pitch,camera_roll,camera_heading,municipality,barangay,farm_name,crops,temperature_c,humidity_percent,notes,device_id,capture_mode
e666e0d9,7,1,5,images/2026/01/21/latrinidad_balili_bsuback_20260121_054251_e666e0d9.jpg,1080,1080,1080p,2026-01-21T05:42:51.257Z,,,,,,,28,-2,219,La Trinidad,Balili,BSU Back,pechay,,,,realme_RMX3840_0FE2DF,controlled
a6e35de8,7,2,5,images/2026/01/21/latrinidad_balili_bsuback_20260121_054255_a6e35de8.jpg,1080,1080,1080p,2026-01-21T05:42:55.580Z,,,,,,,0,-2,194,La Trinidad,Balili,BSU Back,pechay,,,,realme_RMX3840_0FE2DF,controlled
c27613ef,7,3,5,images/2026/01/21/latrinidad_balili_bsuback_20260121_054258_c27613ef.jpg,1080,1080,1080p,2026-01-21T05:42:58.905Z,,,,,,,-2,-2,193,La Trinidad,Balili,BSU Back,pechay,,,,realme_RMX3840_0FE2DF,controlled
696ccba1,7,4,5,images/2026/01/21/latrinidad_balili_bsuback_20260121_054303_696ccba1.jpg,1080,1080,1080p,2026-01-21T05:43:03.662Z,,,,,,,5,0,194,La Trinidad,Balili,BSU Back,pechay,,,,realme_RMX3840_0FE2DF,controlled
3d0dfabb,7,5,5,images/2026/01/21/latrinidad_balili_bsuback_20260121_054306_3d0dfabb.jpg,1080,1080,1080p,2026-01-21T05:43:06.946Z,,,,,,,7,0,194,La Trinidad,Balili,BSU Back,pechay,,,,realme_RMX3840_0FE2DF,controlled
aab8304a,3,1,5,images/2026/01/21/latrinidad_balili_bsuback_20260121_054325_aab8304a.jpg,1080,1080,1080p,2026-01-21T05:43:25.837Z,,,,,,,1,-1,171,La Trinidad,Balili,BSU Back,pechay,,,,realme_RMX3840_0FE2DF,controlled
7608a429,3,2,5,images/2026/01/21/latrinidad_balili_bsuback_20260121_054328_7608a429.jpg,1080,1080,1080p,2026-01-21T05:43:29.039Z,,,,,,,1,-1,171,La Trinidad,Balili,BSU Back,pechay,,,,realme_RMX3840_0FE2DF,controlled
2c70420f,3,3,5,images/2026/01/21/latrinidad_balili_bsuback_20260121_054332_2c70420f.jpg,1080,1080,1080p,2026-01-21T05:43:32.395Z,,,,,,,2,0,170,La Trinidad,Balili,BSU Back,pechay,,,,realme_RMX3840_0FE2DF,controlled
d38d7793,3,4,5,images/2026/01/21/latrinidad_balili_bsuback_20260121_054336_d38d7793.jpg,1080,1080,1080p,2026-01-21T05:43:36.148Z,,,,,,,3,0,171,La Trinidad,Balili,BSU Back,pechay,,,,realme_RMX3840_0FE2DF,controlled
1e828501,3,5,5,images/2026/01/21/latrinidad_balili_bsuback_20260121_054341_1e828501.jpg,1080,1080,1080p,2026-01-21T05:43:41.576Z,,,,,,,29,2,170,La Trinidad,Balili,BSU Back,pechay,,,,realme_RMX3840_0FE2DF,controlled
9b770854,6,1,5,images/2026/01/21/latrinidad_balili_bsuback_20260121_054402_9b770854.jpg,1080,1080,1080p,2026-01-21T05:44:02.099Z,,,,,,,2,1,273,La Trinidad,Balili,BSU Back,pechay,,,,realme_RMX3840_0FE2DF,controlled
3602dd34,6,2,5,images/2026/01/21/latrinidad_balili_bsuback_20260121_054405_3602dd34.jpg,1080,1080,1080p,2026-01-21T05:44:05.825Z,,,,,,,1,0,273,La Trinidad,Balili,BSU Back,pechay,,,,realme_RMX3840_0FE2DF,controlled
d6195fde,6,3,5,images/2026/01/21/latrinidad_balili_bsuback_20260121_054409_d6195fde.jpg,1080,1080,1080p,2026-01-21T05:44:09.872Z,,,,,,,2,0,272,La Trinidad,Balili,BSU Back,pechay,,,,realme_RMX3840_0FE2DF,controlled
78b8523a,6,4,5,images/2026/01/21/latrinidad_balili_bsuback_20260121_054413_78b8523a.jpg,1080,1080,1080p,2026-01-21T05:44:13.608Z,,,,,,,24,-3,248,La Trinidad,Balili,BSU Back,pechay,,,,realme_RMX3840_0FE2DF,controlled
9d0938b9,4,1,5,images/2026/01/21/latrinidad_balili_bsuback_20260121_054433_9d0938b9.jpg,1080,1080,1080p,2026-01-21T05:44:33.532Z,,,,,,,6,-3,275,La Trinidad,Balili,BSU Back,pechay,,,,realme_RMX3840_0FE2DF,controlled
99e8f13b,4,2,5,images/2026/01/21/latrinidad_balili_bsuback_20260121_054436_99e8f13b.jpg,1080,1080,1080p,2026-01-21T05:44:37.055Z,,,,,,,3,-2,283,La Trinidad,Balili,BSU Back,pechay,,,,realme_RMX3840_0FE2DF,controlled
8284c3d3,4,3,5,images/2026/01/21/latrinidad_balili_bsuback_20260121_054440_8284c3d3.jpg,1080,1080,1080p,2026-01-21T05:44:40.598Z,,,,,,,4,-2,283,La Trinidad,Balili,BSU Back,pechay,,,,realme_RMX3840_0FE2DF,controlled
b18ec7c4,4,4,5,images/2026/01/21/latrinidad_balili_bsuback_20260121_054446_b18ec7c4.jpg,1080,1080,1080p,2026-01-21T05:44:46.053Z,,,,,,,28,-7,241,La Trinidad,Balili,BSU Back,pechay,,,,realme_RMX3840_0FE2DF,controlled
446a4c10,4,5,5,images/2026/01/21/latrinidad_balili_bsuback_20260121_054502_446a4c10.jpg,1080,1080,1080p,2026-01-21T05:45:03.034Z,,,,,,,44,-1,223,La Trinidad,Balili,BSU Back,pechay,,,,realme_RMX3840_0FE2DF,controlled
fd825f5b,2,1,5,images/2026/01/21/latrinidad_balili_bsuback_20260121_054514_fd825f5b.jpg,1080,1080,1080p,2026-01-21T05:45:14.293Z,,,,,,,2,1,253,La Trinidad,Balili,BSU Back,pechay,,,,realme_RMX3840_0FE2DF,controlled
ef061285,2,2,5,images/2026/01/21/latrinidad_balili_bsuback_20260121_054519_ef061285.jpg,1080,1080,1080p,2026-01-21T05:45:19.405Z,,,,,,,5,-1,263,La Trinidad,Balili,BSU Back,pechay,,,,realme_RMX3840_0FE2DF,controlled
9777da64,2,3,5,images/2026/01/21/latrinidad_balili_bsuback_20260121_054522_9777da64.jpg,1080,1080,1080p,2026-01-21T05:45:22.512Z,,,,,,,5,-1,263,La Trinidad,Balili,BSU Back,pechay,,,,realme_RMX3840_0FE2DF,controlled
2f082902,2,4,5,images/2026/01/21/latrinidad_balili_bsuback_20260121_054525_2f082902.jpg,1080,1080,1080p,2026-01-21T05:45:25.323Z,,,,,,,5,-1,263,La Trinidad,Balili,BSU Back,pechay,,,,realme_RMX3840_0FE2DF,controlled
