image_filename,source_csv,capture_date,location,crop_type,resolution,device_id,gps_coordinates
atok_paoay_20260213_012319_f83b4740.jpg,soilscan_agricapture_collections,2026-02-13,Atok Paoay,Potato,720p,realme_RMX3840_858067,16.453417 120.590822
atok_paoay_20260213_012339_bd2bba72.jpg,soilscan_agricapture_collections,2026-02-13,Atok Paoay,Potato,720p,realme_RMX3840_858067,16.453417 120.590841
atok_paoay_20260213_011955_30855ed3.jpg,soilscan_agricapture_collections,2026-02-13,Atok Paoay,Potato,720p,realme_RMX3840_858067,16.453424 120.590838
atok_paoay_20260213_012005_4e006146.jpg,soilscan_agricapture_collections,2026-02-13,Atok Paoay,Potato,720p,realme_RMX3840_858067,16.453424 120.590838
atok_paoay_20260213_012032_f118d4e0.jpg,soilscan_agricapture_collections,2026-02-13,Atok Paoay,Potato,720p,realme_RMX3840_858067,16.453424 120.590838
atok_paoay_20260213_012055_d549f452.jpg,soilscan_agricapture_collections,2026-02-13,Atok Paoay,Potato,720p,realme_RMX3840_858067,16.453424 120.590838
atok_paoay_20260213_012115_e3e69773.jpg,soilscan_agricapture_collections,2026-02-13,Atok Paoay,Potato,720p,realme_RMX3840_858067,16.453424 120.590838
atok_paoay_20260213_013251_5bda09b8.jpg,soilscan_agricapture_collections,2026-02-13,Atok Paoay,Cabbage,1080p,realme_RMX3840_858067,16.453454 120.590843
atok_paoay_20260213_013258_3d791955.jpg,soilscan_agricapture_collections,2026-02-13,Atok Paoay,Cabbage,1080p,realme_RMX3840_858067,16.453454 120.590843
atok_paoay_20260213_013308_0051dd04.jpg,soilscan_agricapture_collections,2026-02-13,Atok Paoay,Cabbage,1080p,realme_RMX3840_858067,16.453438 120.590852
atok_paoay_20260213_013324_5832bbd2.jpg,soilscan_agricapture_collections,2026-02-13,Atok Paoay,Cabbage,1080p,realme_RMX3840_858067,16.453438 120.590852
atok_paoay_20260213_013332_806df71e.jpg,soilscan_agricapture_collections,2026-02-13,Atok Paoay,Cabbage,1080p,realme_RMX3840_858067,16.453438 120.590852
atok_paoay_20260213_013605_d027c216.jpg,soilscan_agricapture_collections,2026-02-13,Atok Paoay,Cabbage,1080p,realme_RMX3840_858067,16.453464 120.590848
atok_paoay_20260213_013616_843e3ac0.jpg,soilscan_agricapture_collections,2026-02-13,Atok Paoay,Cabbage,1080p,realme_RMX3840_858067,16.453464 120.590848
atok_paoay_20260213_013628_09179da6.jpg,soilscan_agricapture_collections,2026-02-13,Atok Paoay,Cabbage,1080p,realme_RMX3840_858067,16.453464 120.590848
atok_paoay_20260213_013635_c4e2e014.jpg,soilscan_agricapture_collections,2026-02-13,Atok Paoay,Cabbage,1080p,realme_RMX3840_858067,16.453464 120.590848
atok_paoay_20260213_013647_b87533e5.jpg,soilscan_agricapture_collections,2026-02-13,Atok Paoay,Cabbage,1080p,realme_RMX3840_858067,16.453464 120.590848
atok_paoay_20260213_013814_82752846.jpg,soilscan_agricapture_collections,2026-02-13,Atok Paoay,Cabbage,1080p,realme_RMX3840_858067,16.453460 120.590854
atok_paoay_20260213_013820_a368de4b.jpg,soilscan_agricapture_collections,2026-02-13,Atok Paoay,Cabbage,1080p,realme_RMX3840_858067,16.453460 120.590854
atok_paoay_20260213_013830_3ad316e7.jpg,soilscan_agricapture_collections,2026-02-13,Atok Paoay,Cabbage,1080p,realme_RMX3840_858067,16.453444 120.590845
atok_paoay_20260213_013848_4f67586e.jpg,soilscan_agricapture_collections,2026-02-13,Atok Paoay,Cabbage,1080p,realme_RMX3840_858067,16.453444 120.590845
atok_paoay_20260213_013919_0e44f2b0.jpg,soilscan_agricapture_collections,2026-02-13,Atok Paoay,Cabbage,1080p,realme_RMX3840_858067,16.453444 120.590845
atok_paoay_20260213_014127_afc8d091.jpg,soilscan_agricapture_collections,2026-02-13,Atok Paoay,Cabbage,1080p,realme_RMX3840_858067,16.453447 120.590858
atok_paoay_20260213_014210_cca565c8.jpg,soilscan_agricapture_collections,2026-02-13,Atok Paoay,Cabbage,1080p,realme_RMX3840_858067,16.453435 120.590852
atok_paoay_20260213_014218_47884f62.jpg,soilscan_agricapture_collections,2026-02-13,Atok Paoay,Cabbage,1080p,realme_RMX3840_858067,16.453435 120.590852
atok_paoay_20260213_014227_1cfa9fbb.jpg,soilscan_agricapture_collections,2026-02-13,Atok Paoay,Cabbage,1080p,realme_RMX3840_858067,16.453426 120.590834
atok_paoay_20260213_014234_b8112443.jpg,soilscan_agricapture_collections,2026-02-13,Atok Paoay,Cabbage,1080p,realme_RMX3840_858067,16.453426 120.590834
atok_paoay_20260213_014344_248fbb73.jpg,soilscan_agricapture_collections,2026-02-13,Atok Paoay,Cabbage,1080p,realme_RMX3840_858067,16.453462 120.590857
atok_paoay_20260213_014404_a9f7ee81.jpg,soilscan_agricapture_collections,2026-02-13,Atok Paoay,Cabbage,1080p,realme_RMX3840_858067,16.453443 120.590867
atok_paoay_20260213_014413_2bb8e0cc.jpg,soilscan_agricapture_collections,2026-02-13,Atok Paoay,Cabbage,1080p,realme_RMX3840_858067,16.453443 120.590867
atok_paoay_20260213_014421_bc624590.jpg,soilscan_agricapture_collections,2026-02-13,Atok Paoay,Cabbage,1080p,realme_RMX3840_858067,16.453443 120.590867
atok_paoay_20260213_014433_99632841.jpg,soilscan_agricapture_collections,2026-02-13,Atok Paoay,Cabbage,1080p,realme_RMX3840_858067,16.453445 120.590847
atok_paoay_20260213_014534_be415bf2.jpg,soilscan_agricapture_collections,2026-02-13,Atok Paoay,Cabbage,1080p,realme_RMX3840_858067,16.453443 120.590916
atok_paoay_20260213_014539_1cfdf70c.jpg,soilscan_agricapture_collections,2026-02-13,Atok Paoay,Cabbage,1080p,realme_RMX3840_858067,16.453434 120.590886
atok_paoay_20260213_014548_512f4b0d.jpg,soilscan_agricapture_collections,2026-02-13,Atok Paoay,Cabbage,1080p,realme_RMX3840_858067,16.453426 120.590866
atok_paoay_20260213_014556_570e4fad.jpg,soilscan_agricapture_collections,2026-02-13,Atok Paoay,Cabbage,1080p,realme_RMX3840_858067,16.453426 120.590866
atok_paoay_20260213_014605_ce5e85e3.jpg,soilscan_agricapture_collections,2026-02-13,Atok Paoay,Cabbage,1080p,realme_RMX3840_858067,16.453426 120.590866
atok_paoay_20260213_014752_eab5849c.jpg,soilscan_agricapture_collections,2026-02-13,Atok Paoay,Radish,1080p,realme_RMX3840_858067,16.453453 120.590841
atok_paoay_20260213_014800_223ab1c9.jpg,soilscan_agricapture_collections,2026-02-13,Atok Paoay,Radish,1080p,realme_RMX3840_858067,16.453459 120.590862
atok_paoay_20260213_014808_22926277.jpg,soilscan_agricapture_collections,2026-02-13,Atok Paoay,Radish,1080p,realme_RMX3840_858067,16.453459 120.590862
atok_paoay_20260213_014817_4219943f.jpg,soilscan_agricapture_collections,2026-02-13,Atok Paoay,Radish,1080p,realme_RMX3840_858067,16.453439 120.590867
atok_paoay_20260213_014823_09d69d44.jpg,soilscan_agricapture_collections,2026-02-13,Atok Paoay,Radish,1080p,realme_RMX3840_858067,16.453439 120.590867
atok_paoay_20260213_014936_ee05e9ea.jpg,soilscan_agricapture_collections,2026-02-13,Atok Paoay,Radish,1080p,realme_RMX3840_858067,16.453446 120.590846
atok_paoay_20260213_014941_ad7aa9ea.jpg,soilscan_agricapture_collections,2026-02-13,Atok Paoay,Radish,1080p,realme_RMX3840_858067,16.453446 120.590846
