uuid,spot_number,shot_number,shots_in_spot,image_filename,image_width,image_height,image_quality,capture_datetime,latitude,longitude,altitude_m,altitude_accuracy_m,gps_accuracy_m,gps_reading_count,camera_pitch,camera_roll,camera_heading,municipality,barangay,farm_name,crops,temperature_c,humidity_percent,notes,device_id,capture_mode
6a4d8fb4,3,1,5,images/atok/paoay/no_farm/potato/atok_paoay_20260213_011254_6a4d8fb4.jpg,1920,1080,1080p,2026-02-13T01:12:54.247Z,16.453474,120.590843,1360,19,3.5,1,13,0,38,Atok,Paoay,,potato,18.6,74,,samsung_SM-A546E_DF7DBC,field
fc1e061b,3,2,5,images/atok/paoay/no_farm/potato/atok_paoay_20260213_011314_fc1e061b.jpg,1920,1080,1080p,2026-02-13T01:13:14.842Z,16.453474,120.590843,1360,19,3.5,1,39,-2,323,Atok,Paoay,,potato,18.6,74,,samsung_SM-A546E_DF7DBC,field
934ea7e4,3,3,5,images/atok/paoay/no_farm/potato/atok_paoay_20260213_011337_934ea7e4.jpg,1920,1080,1080p,2026-02-13T01:13:37.171Z,16.453473,120.590821,1398,18,3.5,1,57,-13,23,Atok,Paoay,,potato,18.6,74,,samsung_SM-A546E_DF7DBC,field
16018d3c,3,4,5,images/atok/paoay/no_farm/potato/atok_paoay_20260213_011352_16018d3c.jpg,1920,1080,1080p,2026-02-13T01:13:52.244Z,16.453428,120.590870,1358,9,28.2,1,48,0,312,Atok,Paoay,,potato,18.6,74,,samsung_SM-A546E_DF7DBC,field
a857fe14,3,5,5,images/atok/paoay/no_farm/potato/atok_paoay_20260213_011407_a857fe14.jpg,1920,1080,1080p,2026-02-13T01:14:08.039Z,16.453338,120.590802,1358,9,99.9,1,41,8,316,Atok,Paoay,,potato,18.6,74,,samsung_SM-A546E_DF7DBC,field
03616381,5,1,5,images/atok/paoay/no_farm/potato/atok_paoay_20260213_011828_03616381.jpg,1920,1080,1080p,2026-02-13T01:18:28.988Z,16.453494,120.590839,1360,6,44.0,1,10,5,21,Atok,Paoay,,potato,18.6,74,,samsung_SM-A546E_DF7DBC,field
9c7b24cb,5,2,5,images/atok/paoay/no_farm/potato/atok_paoay_20260213_011514_9c7b24cb.jpg,1920,1080,1080p,2026-02-13T01:15:14.955Z,16.453393,120.590820,1358,9,204.2,1,13,6,354,Atok,Paoay,,potato,18.6,74,,samsung_SM-A546E_DF7DBC,field
48eaacee,5,3,5,images/atok/paoay/no_farm/potato/atok_paoay_20260213_011521_48eaacee.jpg,1920,1080,1080p,2026-02-13T01:15:21.182Z,16.453423,120.590766,1358,9,12.0,1,8,2,348,Atok,Paoay,,potato,18.6,74,,samsung_SM-A546E_DF7DBC,field
3b49c022,5,4,5,images/atok/paoay/no_farm/potato/atok_paoay_20260213_011527_3b49c022.jpg,1920,1080,1080p,2026-02-13T01:15:27.616Z,16.453423,120.590766,1358,9,12.0,1,0,2,348,Atok,Paoay,,potato,18.6,74,,samsung_SM-A546E_DF7DBC,field
d2b2e4fe,5,5,5,images/atok/paoay/no_farm/potato/atok_paoay_20260213_011721_d2b2e4fe.jpg,1920,1080,1080p,2026-02-13T01:17:21.623Z,16.453454,120.590971,1360,6,37.5,1,10,-2,340,Atok,Paoay,,potato,18.6,74,,samsung_SM-A546E_DF7DBC,field
8a4d6bd4,8,1,5,images/atok/paoay/no_farm/potato/atok_paoay_20260213_012142_8a4d6bd4.jpg,1920,1080,1080p,2026-02-13T01:21:42.962Z,16.453358,120.590873,1358,6,344.0,1,27,-2,333,Atok,Paoay,,potato,18.6,74,,samsung_SM-A546E_DF7DBC,field
88418a5a,8,2,5,images/atok/paoay/no_farm/potato/atok_paoay_20260213_012152_88418a5a.jpg,1920,1080,1080p,2026-02-13T01:21:52.596Z,16.453434,120.590741,1358,6,36.0,1,17,4,26,Atok,Paoay,,potato,18.6,74,,samsung_SM-A546E_DF7DBC,field
b3e6178d,8,3,5,images/atok/paoay/no_farm/potato/atok_paoay_20260213_012200_b3e6178d.jpg,1920,1080,1080p,2026-02-13T01:22:00.120Z,16.453391,120.590896,1360,10,42.0,1,5,-1,334,Atok,Paoay,,potato,18.6,74,,samsung_SM-A546E_DF7DBC,field
42bc6f16,8,4,5,images/atok/paoay/no_farm/potato/atok_paoay_20260213_012206_42bc6f16.jpg,1920,1080,1080p,2026-02-13T01:22:06.509Z,16.453391,120.590896,1360,10,42.0,1,-4,0,337,Atok,Paoay,,potato,18.6,74,,samsung_SM-A546E_DF7DBC,field
858abd49,8,5,5,images/atok/paoay/no_farm/potato/atok_paoay_20260213_012219_858abd49.jpg,1920,1080,1080p,2026-02-13T01:22:19.906Z,16.453378,120.590919,1358,31,40.0,1,33,6,7,Atok,Paoay,,potato,18.6,74,,samsung_SM-A546E_DF7DBC,field
1e6f0bb9,10,1,5,images/atok/paoay/no_farm/potato/atok_paoay_20260213_012327_1e6f0bb9.jpg,1920,1080,1080p,2026-02-13T01:23:27.442Z,16.453439,120.590747,1360,10,19.0,1,41,-1,340,Atok,Paoay,,potato,18.6,74,,samsung_SM-A546E_DF7DBC,field
1a29ab72,10,2,5,images/atok/paoay/no_farm/potato/atok_paoay_20260213_012336_1a29ab72.jpg,1920,1080,1080p,2026-02-13T01:23:36.162Z,16.453176,120.590889,1359,4,50.0,1,26,1,346,Atok,Paoay,,potato,18.6,74,,samsung_SM-A546E_DF7DBC,field
bc6ed7e3,10,3,5,images/atok/paoay/no_farm/potato/atok_paoay_20260213_012342_bc6ed7e3.jpg,1920,1080,1080p,2026-02-13T01:23:42.442Z,16.453176,120.590889,1359,4,50.0,1,9,5,346,Atok,Paoay,,potato,18.6,74,,samsung_SM-A546E_DF7DBC,field
ffa5cb4e,10,4,5,images/atok/paoay/no_farm/potato/atok_paoay_20260213_012349_ffa5cb4e.jpg,1920,1080,1080p,2026-02-13T01:23:49.480Z,16.453417,120.590788,1360,13,272.3,1,6,6,349,Atok,Paoay,,potato,18.6,74,,samsung_SM-A546E_DF7DBC,field
adc3b098,10,5,5,images/atok/paoay/no_farm/potato/atok_paoay_20260213_012408_adc3b098.jpg,1920,1080,1080p,2026-02-13T01:24:08.056Z,16.453295,120.590707,1360,10,31.5,1,29,17,105,Atok,Paoay,,potato,18.6,74,,samsung_SM-A546E_DF7DBC,field
5596c412,13,1,5,images/atok/paoay/no_farm/cabbage/atok_paoay_20260213_013410_5596c412.jpg,1920,1080,1080p,2026-02-13T01:34:10.412Z,16.453454,120.591057,1358,9,313.3,1,27,0,45,Atok,Paoay,,cabbage,18.6,74,,samsung_SM-A546E_DF7DBC,field
0e354bac,13,2,5,images/atok/paoay/no_farm/cabbage/atok_paoay_20260213_013417_0e354bac.jpg,1920,1080,1080p,2026-02-13T01:34:17.246Z,16.453360,120.590772,1360,3,268.1,1,21,-9,345,Atok,Paoay,,cabbage,18.6,74,,samsung_SM-A546E_DF7DBC,field
96dab881,13,3,5,images/atok/paoay/no_farm/cabbage/atok_paoay_20260213_013423_96dab881.jpg,1920,1080,1080p,2026-02-13T01:34:23.893Z,16.453404,120.590831,1360,3,11.5,1,19,-9,339,Atok,Paoay,,cabbage,18.6,74,,samsung_SM-A546E_DF7DBC,field
b500ae93,13,4,5,images/atok/paoay/no_farm/cabbage/atok_paoay_20260213_013432_b500ae93.jpg,1920,1080,1080p,2026-02-13T01:34:32.606Z,16.453139,120.590913,1360,4,44.5,1,22,-4,335,Atok,Paoay,,cabbage,18.6,74,,samsung_SM-A546E_DF7DBC,field
52848437,13,5,5,images/atok/paoay/no_farm/cabbage/atok_paoay_20260213_013440_52848437.jpg,1920,1080,1080p,2026-02-13T01:34:40.676Z,16.453139,120.590913,1360,4,44.5,1,24,-6,50,Atok,Paoay,,cabbage,18.6,74,,samsung_SM-A546E_DF7DBC,field
f0461b72,14,1,5,images/atok/paoay/no_farm/cabbage/atok_paoay_20260213_013249_f0461b72.jpg,1920,1080,1080p,2026-02-13T01:32:49.855Z,16.453468,120.590787,1358,7,159.8,1,30,1,335,Atok,Paoay,,cabbage,18.6,74,,samsung_SM-A546E_DF7DBC,field
2e2f9f6b,14,2,5,images/atok/paoay/no_farm/cabbage/atok_paoay_20260213_013255_2e2f9f6b.jpg,1920,1080,1080p,2026-02-13T01:32:55.466Z,16.453490,120.590797,1358,7,41.0,1,19,4,334,Atok,Paoay,,cabbage,18.6,74,,samsung_SM-A546E_DF7DBC,field
