uuid,spot_number,shot_number,shots_in_spot,image_filename,image_width,image_height,image_quality,capture_datetime,latitude,longitude,altitude_m,altitude_accuracy_m,gps_accuracy_m,gps_reading_count,camera_pitch,camera_roll,camera_heading,municipality,barangay,farm_name,crops,temperature_c,humidity_percent,notes,device_id,capture_mode
f84d0a5d,65,1,5,images/2026/01/21/latrinidad_balili_bsuback_20260121_063932_f84d0a5d.jpg,1080,1080,1080p,2026-01-21T06:39:32.711Z,,,,,,,2,2,204,La Trinidad,Balili,BSU Back,"cabbage,custom_chinese_cabbage",,,,TECNO_TECNO_CM8_DF2CAC,controlled
9cdf5593,65,2,5,images/2026/01/21/latrinidad_balili_bsuback_20260121_063937_9cdf5593.jpg,1080,1080,1080p,2026-01-21T06:39:37.213Z,,,,,,,16,1,206,La Trinidad,Balili,BSU Back,"cabbage,custom_chinese_cabbage",,,,TECNO_TECNO_CM8_DF2CAC,controlled
01e329ed,65,3,5,images/2026/01/21/latrinidad_balili_bsuback_20260121_063941_01e329ed.jpg,1080,1080,1080p,2026-01-21T06:39:41.751Z,,,,,,,-15,13,203,La Trinidad,Balili,BSU Back,"cabbage,custom_chinese_cabbage",,,,TECNO_TECNO_CM8_DF2CAC,controlled
b1348dd8,65,4,5,images/2026/01/21/latrinidad_balili_bsuback_20260121_063946_b1348dd8.jpg,1080,1080,1080p,2026-01-21T06:39:46.255Z,,,,,,,-5,32,205,La Trinidad,Balili,BSU Back,"cabbage,custom_chinese_cabbage",,,,TECNO_TECNO_CM8_DF2CAC,controlled
6675ff04,65,5,5,images/2026/01/21/latrinidad_balili_bsuback_20260121_063951_6675ff04.jpg,1080,1080,1080p,2026-01-21T06:39:51.318Z,,,,,,,2,-1,198,La Trinidad,Balili,BSU Back,"cabbage,custom_chinese_cabbage",,,,TECNO_TECNO_CM8_DF2CAC,controlled
ac29a57f,64,1,5,images/2026/01/21/latrinidad_balili_bsuback_20260121_064037_ac29a57f.jpg,1080,1080,1080p,2026-01-21T06:40:37.684Z,,,,,,,2,-12,203,La Trinidad,Balili,BSU Back,cabbage,,,,TECNO_TECNO_CM8_DF2CAC,controlled
6f631e86,64,2,5,images/2026/01/21/latrinidad_balili_bsuback_20260121_064042_6f631e86.jpg,1080,1080,1080p,2026-01-21T06:40:42.727Z,,,,,,,8,3,199,La Trinidad,Balili,BSU Back,cabbage,,,,TECNO_TECNO_CM8_DF2CAC,controlled
1726310d,64,3,5,images/2026/01/21/latrinidad_balili_bsuback_20260121_064053_1726310d.jpg,1080,1080,1080p,2026-01-21T06:40:53.318Z,,,,,,,-2,24,195,La Trinidad,Balili,BSU Back,cabbage,,,,TECNO_TECNO_CM8_DF2CAC,controlled
7f38948d,64,4,5,images/2026/01/21/latrinidad_balili_bsuback_20260121_064058_7f38948d.jpg,1080,1080,1080p,2026-01-21T06:40:58.475Z,,,,,,,-21,7,200,La Trinidad,Balili,BSU Back,cabbage,,,,TECNO_TECNO_CM8_DF2CAC,controlled
bc3641f0,64,5,5,images/2026/01/21/latrinidad_balili_bsuback_20260121_064104_bc3641f0.jpg,1080,1080,1080p,2026-01-21T06:41:04.841Z,,,,,,,0,-1,202,La Trinidad,Balili,BSU Back,cabbage,,,,TECNO_TECNO_CM8_DF2CAC,controlled
